n,m,seconds,reason
100000,1,0.1029,success
100000,10,0.8495,success
100000,100,6.9398,success
100000,1000,73.8215,success
100000,10000,180.0016,timeout
100000,100000,180.0009,timeout
10000,1,0.0136,success
10000,10,0.1135,success
10000,100,0.8352,success
10000,1000,7.5816,success
10000,10000,72.423,success
10000,100000,180.0008,timeout
1000,1,0.0015,success
1000,10,0.011,success
1000,100,0.0775,success
1000,1000,0.6064,success
1000,10000,5.6116,success
1000,100000,57.1547,success
100,1,0.0003,success
100,10,0.0011,success
100,100,0.0084,success
100,1000,0.0993,success
100,10000,0.8773,success
100,100000,8.2774,success
10,1,0.0002,success
10,10,0.0005,success
10,100,0.0032,success
10,1000,0.034,success
10,10000,0.348,success
10,100000,3.1425,success
1,1,0.0002,success
1,10,0.0004,success
1,100,0.0027,success
1,1000,0.028,success
1,10000,0.2659,success
1,100000,2.7927,success

